Location,Samples,MAE,RMSE
Unknown,5698,4.217694785970477,8.762666483778894
CA8 - ARB,171,13.80660472401551,19.489020735582102
Bangkok,118,3.4785642623901367,5.038908939186056
GBU,112,71.90933619259233,86.84384146996865
İstanbul,79,17.20112523555756,23.446200571986473
