Model,Train_MAE,Train_RMSE,Test_MAE,Test_RMSE
ARIMA,8.747344231776149,16.856298426723576,15.336859321936407,18.56014905901708
Prophet,14.053996859153182,23.45607731680275,12.176333913939377,18.490941097894595
LSTM,10.698296727869627,18.484421095708065,213.1567785951492,289.9246683707339
XGBoost,7.960648700175859,13.715546816736756,13.525263996874436,18.170922609782025
